title,genre,director,cast
Kindergarten Cop,"Action, Comedy, Crime",Ivan Reitman,"Arnold Schwarzenegger, Penelope Ann Miller, Pamela Reed, Linda Hunt"
The Flintstones,"Comedy, Family, Fantasy",Brian Levant,"John Goodman, Rick Moranis, Rosie O'Donnell, Halle Berry"
Hachi: A Dog's Tale,"Biography, Drama, Family",Lasse Hallström,"Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer"
Minecraft,"Action, Adventure, Family",Jared Hess,"Jason Momoa, Jack Black, Jennifer Coolidge, Kate McKinnon"
The Fugitive,"Action, Crime, Drama",Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore"
I Can Only Imagine,"Biography, Drama, Family",Andrew Erwin,"Jon Erwin, John Michael Finley, Madeline Carroll, Dennis Quaid, Trace Adkins"
The Curious Case of Benjamin Button,"Drama, Fantasy, Romance",David Fincher,"Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond"
The Wedding Planner,"Comedy, Romance",Adam Shankman,"Jennifer Lopez, Matthew McConaughey, Bridgette Wilson-Sampras, Justin Chambers"
Fantastic Mr. Fox,"Animation, Adventure, Comedy",Wes Anderson,"George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman"
Sucker Punch,"Action, Adventure, Fantasy",Zack Snyder,"Emily Browning, Vanessa Hudgens, Abbie Cornish, Jena Malone"
First Blood,"Action, Adventure, Thriller",Ted Kotcheff,"Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney"
Ace in the Hole,"Drama, Film-Noir",Billy Wilder,"Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall"
Hanu Man,"Action, Adventure, Fantasy",Prasanth Varma,"Teja Sajja, Amritha Aiyer, Varalaxmi Sarathkumar, Vinay Rai"
Valkyrie,"Drama, History, Thriller",Bryan Singer,"Tom Cruise, Bill Nighy, Carice van Houten, Kenneth Branagh"
Rain Man,Drama,Barry Levinson,"Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen"
Rio Bravo,Western,Howard Hawks,"John Wayne, Dean Martin, Ricky Nelson, Angie Dickinson"
The Rocky Horror Picture Show,"Comedy, Horror, Musical",Jim Sharman,"Tim Curry, Susan Sarandon, Barry Bostwick, Richard O'Brien"
Thor,"Action, Fantasy",Kenneth Branagh,"Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston"
50 First Dates,"Comedy, Drama, Romance",Peter Segal,"Adam Sandler, Drew Barrymore, Rob Schneider, Sean Astin"
Freud's Last Session,Drama,Matt Brown,"Anthony Hopkins, Matthew Goode, Liv Lisa Fries, Jodi Balfour"
Deliverance,"Adventure, Drama, Thriller",John Boorman,"Jon Voight, Burt Reynolds, Ned Beatty, Ronny Cox"
Hud,"Drama, Western",Martin Ritt,"Paul Newman, Melvyn Douglas, Patricia Neal, Brandon De Wilde"
True Grit,"Drama, Western",Ethan Coen,"Joel Coen, Jeff Bridges, Matt Damon, Hailee Steinfeld, Josh Brolin"
It Chapter Two,"Drama, Fantasy, Horror",Andy Muschietti,"Jessica Chastain, James McAvoy, Bill Hader, Isaiah Mustafa"
Which Brings Me to You,Romance,Peter Hutchings,"Lucy Hale, Nat Wolff, John Gallagher Jr., Genevieve Angelson"
I Spit on Your Grave,"Horror, Thriller",Steven R. Monroe,"Sarah Butler, Jeff Branson, Andrew Howard, Daniel Franzese"
You'll Never Find Me,"Horror, Thriller",Josiah Allen,"Indianna Bell, Brendan Rock, Jordan Cowan, Elena Carapetis, Angela Korng"
The Nun II,"Horror, Mystery, Thriller",Michael Chaves,"Taissa Farmiga, Jonas Bloquet, Storm Reid, Anna Popplewell"
That They May Face the Rising Sun,Drama,Pat Collins,"Barry Ward, Anna Bederke, Ruth McCabe, Lalor Roddy"
Flight,"Drama, Thriller",Robert Zemeckis,"Denzel Washington, Nadine Velazquez, Don Cheadle, John Goodman"
Cocaine Bear,"Comedy, Thriller",Elizabeth Banks,"Keri Russell, Alden Ehrenreich, O'Shea Jackson Jr., Ray Liotta"
Thelma & Louise,"Adventure, Crime, Drama",Ridley Scott,"Susan Sarandon, Geena Davis, Harvey Keitel, Michael Madsen"
A través de mi ventana,"Comedy, Drama, Romance",Marçal Forés,"Clara Galle, Julio Peña, Guillermo Lasheras, Natalia Azahara"
Jackie Brown,"Crime, Drama, Thriller",Quentin Tarantino,"Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda"
"To Wong Foo Thanks for Everything, Julie Newmar","Comedy, Drama",Beeban Kidron,"Wesley Snipes, Patrick Swayze, John Leguizamo, Stockard Channing"
Lady Chatterley's Lover,"Drama, Romance",Laure de Clermont-Tonnerre,"Emma Corrin, Jack O'Connell, Matthew Duckett, Joely Richardson"
Fast X: Part 2,"Action, Crime, Thriller",Louis Leterrier,"Jason Statham, Dwayne Johnson, Nathalie Emmanuel, Jason Momoa"
The Blues Brothers,"Action, Adventure, Comedy",John Landis,"John Belushi, Dan Aykroyd, Cab Calloway, John Candy"
Mamma Mia! Here We Go Again,"Comedy, Musical, Romance",Ol Parker,"Lily James, Amanda Seyfried, Meryl Streep, Cher"
Hotaru no haka,"Animation, Drama, War",Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara"
12 Monkeys,"Mystery, Sci-Fi, Thriller",Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt, Joseph Melito"
The Last Airbender,"Action, Adventure, Family",M. Night Shyamalan,"Noah Ringer, Nicola Peltz Beckham, Jackson Rathbone, Dev Patel"
The Big Chill,"Comedy, Drama",Lawrence Kasdan,"Tom Berenger, Glenn Close, Jeff Goldblum, William Hurt"
The Pale Blue Eye,"Crime, Horror, Mystery",Scott Cooper,"Christian Bale, Harry Melling, Simon McBurney, Timothy Spall"
A Matter of Life and Death,"Drama, Fantasy, Romance",Michael Powell,"Emeric Pressburger, David Niven, Kim Hunter, Robert Coote, Kathleen Byron"
Crank: High Voltage,"Action, Crime, Thriller",Mark Neveldine,"Brian Taylor, Jason Statham, Amy Smart, Clifton Collins Jr., Dwight Yoakam"
Babes,Comedy,Pamela Adlon,"Ilana Glazer, Michelle Buteau, Hasan Minhaj, John Carroll Lynch"
The Ring,"Horror, Mystery",Gore Verbinski,"Naomi Watts, Martin Henderson, Brian Cox, David Dorfman"
6 Underground,"Action, Thriller",Michael Bay,"Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy"
The Fabelmans,Drama,Steven Spielberg,"Michelle Williams, Gabriel LaBelle, Paul Dano, Judd Hirsch"
Coyote Ugly,"Comedy, Drama, Music",David McNally,"Piper Perabo, Adam Garcia, John Goodman, Maria Bello"
Source Code,"Action, Drama, Mystery",Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright"
13 Hours: The Secret Soldiers of Benghazi,"Action, Drama, History",Michael Bay,"John Krasinski, Pablo Schreiber, James Badge Dale, David Denman"
Ezra,"Comedy, Drama",Tony Goldwyn,"Vera Farmiga, Robert De Niro, Rose Byrne, Rainn Wilson"
Reagan,"Biography, Drama, History",Sean McNamara,"Dennis Quaid, C. Thomas Howell, Mena Suvari, Amanda Righetti"
The Princess Diaries 2: Royal Engagement,"Comedy, Family, Romance",Garry Marshall,"Anne Hathaway, Callum Blue, Julie Andrews, Hector Elizondo"
The Phantom of the Opera,"Drama, Musical, Romance",Joel Schumacher,"Gerard Butler, Emmy Rossum, Patrick Wilson, Miranda Richardson"
The Beach,"Adventure, Drama, Romance",Danny Boyle,"Leonardo DiCaprio, Tilda Swinton, Daniel York, Patcharawan Patarakijjanon"
Heisenberg,Drama,Uli Edel,
The Hobbit: The Desolation of Smaug,"Adventure, Drama, Fantasy",Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott"
Looper,"Action, Drama, Sci-Fi",Rian Johnson,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano"
King Richard,"Biography, Drama, Sport",Reinaldo Marcus Green,"Will Smith, Aunjanue Ellis-Taylor, Jon Bernthal, Saniyya Sidney"
Dredd,"Action, Crime, Sci-Fi",Pete Travis,"Karl Urban, Olivia Thirlby, Lena Headey, Rachel Wood"
Aladdin,"Animation, Adventure, Comedy",Ron Clements,"John Musker, Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman"
Coraline,"Animation, Drama, Family",Henry Selick,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders"
The School for Good and Evil,"Action, Comedy, Drama",Paul Feig,"Kit Young, Sophia Anne Caruso, Cate Blanchett, Liam Woon"
A Beautiful Day in the Neighborhood,"Biography, Drama",Marielle Heller,"Matthew Rhys, Tom Hanks, Chris Cooper, Susan Kelechi Watson"
Night at the Museum,"Adventure, Comedy, Family",Shawn Levy,"Ben Stiller, Carla Gugino, Ricky Gervais, Dick Van Dyke"
Face/Off,"Action, Crime, Sci-Fi",John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola"
Palm Springs,"Comedy, Fantasy, Mystery",Max Barbakow,"Andy Samberg, Cristin Milioti, J.K. Simmons, Peter Gallagher"
Atomic Blonde,"Action, Thriller",David Leitch,"Charlize Theron, James McAvoy, John Goodman, Eddie Marsan"
Mystic River,"Crime, Drama, Mystery",Clint Eastwood,"Sean Penn, Tim Robbins, Kevin Bacon, Emmy Rossum"
Close,Drama,Lukas Dhont,"Eden Dambrine, Gustav De Waele, Émilie Dequenne, Léa Drucker"
Captive State,"Action, Horror, Sci-Fi",Rupert Wyatt,"John Goodman, Ashton Sanders, Jonathan Majors, Vera Farmiga"
Sausage Party,"Animation, Adventure, Comedy",Conrad Vernon,"Greg Tiernan, Seth Rogen, Kristen Wiig, Jonah Hill, Alistair Abell"
Lawrence of Arabia,"Adventure, Biography, Drama",David Lean,"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins"
GATTACA,"Drama, Sci-Fi, Thriller",Andrew Niccol,"Ethan Hawke, Uma Thurman, Jude Law, Gore Vidal"
The Smashing Machine,"Biography, Drama",Benny Safdie,"Emily Blunt, Dwayne Johnson, Lyndsey Gavin"
The Hills Have Eyes,"Horror, Thriller",Alexandre Aja,"Ted Levine, Kathleen Quinlan, Dan Byrd, Emilie de Ravin"
House of Gucci,"Biography, Crime, Drama",Ridley Scott,"Lady Gaga, Adam Driver, Al Pacino, Jeremy Irons"
Gods of Egypt,"Action, Adventure, Drama",Alex Proyas,"Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman"
Star Trek Into Darkness,"Action, Adventure, Sci-Fi",J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch"
Mother!,"Drama, Horror, Mystery",Darren Aronofsky,"Jennifer Lawrence, Javier Bardem, Ed Harris, Michelle Pfeiffer"
The Hunger Games: Mockingjay - Part 2,"Action, Adventure, Sci-Fi",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson"
Garfield: The Movie,"Adventure, Comedy, Family",Peter Hewitt,"Breckin Meyer, Jennifer Love Hewitt, Stephen Tobolowsky, Bill Murray"
The Rock,"Action, Adventure, Thriller",Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, John Spencer"
Shrek the Third,"Animation, Adventure, Comedy",Chris Miller,"Raman Hui, Mike Myers, Cameron Diaz, Eddie Murphy, Antonio Banderas"
Red Sparrow,"Action, Drama, Thriller",Francis Lawrence,"Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling"
Sherlock Holmes,"Action, Adventure, Mystery",Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong"
Contagion,"Drama, Thriller",Steven Soderbergh,"Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow"
Death Race,"Action, Sci-Fi, Thriller",Paul W.S. Anderson,"Jason Statham, Joan Allen, Tyrese Gibson, Ian McShane"
Scent of a Woman,Drama,Martin Brest,"Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar"
Crash,Drama,David Cronenberg,"James Spader, Holly Hunter, Elias Koteas, Deborah Kara Unger"
The Autopsy of Jane Doe,"Horror, Mystery, Thriller",André Øvredal,"Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton"
Snowpiercer,"Action, Drama, Sci-Fi",Bong Joon Ho,"Chris Evans, Jamie Bell, Tilda Swinton, Ed Harris"
Friday the 13th,"Horror, Mystery, Thriller",Sean S. Cunningham,"Betsy Palmer, Adrienne King, Jeannine Taylor, Robbi Morgan"
El Dorado,"Drama, Romance, Western",Howard Hawks,"John Wayne, Robert Mitchum, James Caan, Charlene Holt"
Soul,"Animation, Adventure, Comedy",Pete Docter,"Kemp Powers, Jamie Foxx, Tina Fey, Graham Norton, Rachel House"
Girls Trip,"Adventure, Comedy, Drama",Malcolm D. Lee,"Regina Hall, Queen Latifah, Jada Pinkett Smith, Tiffany Haddish"
Yesterday,"Comedy, Fantasy, Music",Danny Boyle,"Himesh Patel, Lily James, Sophia Di Martino, Ellise Chappell"
Below Her Mouth,"Drama, Romance",April Mullen,"Erika Linder, Natalie Krill, Sebastian Pigott, Mayko Nguyen"
Edward Scissorhands,"Drama, Fantasy, Romance",Tim Burton,"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall"
Indiana Jones and the Temple of Doom,"Action, Adventure",Steven Spielberg,"Harrison Ford, Kate Capshaw, Ke Huy Quan, Amrish Puri"
Gone Baby Gone,"Crime, Drama, Mystery",Ben Affleck,"Morgan Freeman, Ed Harris, Casey Affleck, Michelle Monaghan"
Spy Kids,"Action, Adventure, Comedy",Robert Rodriguez,"Alexa PenaVega, Daryl Sabara, Antonio Banderas, Carla Gugino"
The Ballad of Buster Scruggs,"Comedy, Drama, Musical",Ethan Coen,"Joel Coen, Tim Blake Nelson, Willie Watson, Clancy Brown, Danny McCarthy"
Face Off 7: One Wish,Drama,Ly Hai,"Tram Anh, Truong Minh Cuong, Tran Kim Hai, Thanh Hien"
The House That Jack Built,"Crime, Drama, Horror",Lars von Trier,"Matt Dillon, Bruno Ganz, Uma Thurman, Siobhan Fallon Hogan"
Tremors,"Comedy, Horror",Ron Underwood,"Kevin Bacon, Fred Ward, Finn Carter, Michael Gross"
We're the Millers 2,Comedy,Rawson Marshall Thurber,
Widows,"Crime, Drama, Thriller",Steve McQueen,"Viola Davis, Michelle Rodriguez, Elizabeth Debicki"
The Marsh King's Daughter,"Crime, Drama, Mystery",Neil Burger,"Daisy Ridley, Ben Mendelsohn, Brooklynn Prince, Gil Birmingham"
Shichinin no samurai,"Action, Drama",Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki"
Ultimo tango a Parigi,"Drama, Romance",Bernardo Bertolucci,"Marlon Brando, Maria Schneider, Maria Michi, Giovanna Galletti"
The Meg,"Action, Horror, Sci-Fi",Jon Turteltaub,"Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis"
Billy Madison,Comedy,Tamra Davis,"Adam Sandler, Darren McGavin, Bridgette Wilson-Sampras, Bradley Whitford"
Mortal Kombat,"Action, Adventure, Fantasy",Paul W.S. Anderson,"Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa"
Kuolleet lehdet,"Comedy, Drama, Romance",Aki Kaurismäki,"Alma Pöysti, Jussi Vatanen, Janne Hyytiäinen, Nuppu Koivu"
El hoyo,"Horror, Sci-Fi, Thriller",Galder Gaztelu-Urrutia,"Ivan Massagué, Zorion Eguileor, Antonia San Juan, Emilio Buale"
Malignant,"Crime, Horror, Mystery",James Wan,"Annabelle Wallis, Maddie Hasson, George Young, Michole Briana White"
Mary Poppins,"Comedy, Family, Fantasy",Robert Stevenson,"Julie Andrews, Dick Van Dyke, David Tomlinson, Glynis Johns"
Transformers: Revenge of the Fallen,"Action, Adventure, Sci-Fi",Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson"
The Bad Guys,"Animation, Adventure, Comedy",Pierre Perifel,"Sam Rockwell, Marc Maron, Awkwafina, Craig Robinson"
The Road,"Drama, Thriller",John Hillcoat,"Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee, Robert Duvall"
The Giver,"Drama, Romance, Sci-Fi",Phillip Noyce,"Brenton Thwaites, Jeff Bridges, Meryl Streep, Taylor Swift"
Rampage,"Action, Adventure, Sci-Fi",Brad Peyton,"Dwayne Johnson, Naomie Harris, Malin Akerman, Jeffrey Dean Morgan"
Willow,"Action, Adventure, Drama",Ron Howard,"Val Kilmer, Joanne Whalley, Warwick Davis, Jean Marsh"
Pet Sematary,"Fantasy, Horror, Thriller",Mary Lambert,"Dale Midkiff, Denise Crosby, Fred Gwynne, Brad Greenquist"
Resident Evil,"Action, Horror, Sci-Fi",Paul W.S. Anderson,"Milla Jovovich, Michelle Rodriguez, Ryan McCluskey, Oscar Pearce"
Min anoigeis tin porta,Horror,Alexandros Karpas,"Sakis Karpas, Sakis Karpas, Foteini Levogianni"
Henry V,"Biography, Drama, History",Kenneth Branagh,"Kenneth Branagh, Derek Jacobi, Simon Shepherd, James Larkin"
The Nun,"Horror, Mystery, Thriller",Corin Hardy,"Demián Bichir, Taissa Farmiga, Jonas Bloquet, Bonnie Aarons"
Jersey Boys,"Biography, Drama, Music",Clint Eastwood,"John Lloyd Young, Erich Bergen, Michael Lomenda, Vincent Piazza"
The Mummy,"Action, Adventure, Fantasy",Alex Kurtzman,"Tom Cruise, Sofia Boutella, Annabelle Wallis, Russell Crowe"
Black Panther: Wakanda Forever,"Action, Adventure, Drama",Ryan Coogler,"Letitia Wright, Lupita Nyong'o, Danai Gurira, Winston Duke"
In Bruges,"Comedy, Crime, Drama",Martin McDonagh,"Colin Farrell, Brendan Gleeson, Ciarán Hinds, Elizabeth Berrington"
Jawan,"Action, Drama, Musical",Atlee,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone"
Couples Retreat,Comedy,Peter Billingsley,"Vince Vaughn, Malin Akerman, Jon Favreau, Jason Bateman"
Malayalee from India,Action,Dijo Jose Antony,"Nivin Pauly, Anaswara Rajan, Dhyan Sreenivasan, Deepak Jethi"
12 Years a Slave,"Biography, Drama, History",Steve McQueen,"Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt"
Teenage Mutant Ninja Turtles,"Action, Adventure, Comedy",Steve Barron,"Judith Hoag, Elias Koteas, Josh Pais, David Forman"
Odotus,"Drama, Romance",Aku Louhimies,"Inka Kallén, Aku Hirviniemi, Andrei Alén, Adeliina Arajuuri"
Jerry & Marge Go Large,"Biography, Comedy, Drama",David Frankel,"Bryan Cranston, Annette Bening, Rainn Wilson, Larry Wilmore"
"Extremely Wicked, Shockingly Evil and Vile","Biography, Crime, Drama",Joe Berlinger,"Lily Collins, Zac Efron, Angela Sarafyan, Sydney Vollmer"
Alien Resurrection,"Action, Horror, Sci-Fi",Jean-Pierre Jeunet,"Sigourney Weaver, Winona Ryder, Dominique Pinon, Ron Perlman"
The Addams Family,"Comedy, Fantasy",Barry Sonnenfeld,"Anjelica Huston, Raul Julia, Christopher Lloyd, Dan Hedaya"
Law Abiding Citizen,"Action, Crime, Drama",F. Gary Gray,"Gerard Butler, Jamie Foxx, Leslie Bibb, Colm Meaney"
La pianiste,"Drama, Music",Michael Haneke,"Isabelle Huppert, Annie Girardot, Benoît Magimel, Susanne Lothar"
After We Collided,"Drama, Romance",Roger Kumble,"Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Louise Lombard"
Batman & Robin,"Action, Sci-Fi",Joel Schumacher,"Arnold Schwarzenegger, George Clooney, Chris O'Donnell, Uma Thurman"
Fifty Shades Freed,"Drama, Mystery, Romance",James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford"
Bitter Moon,"Drama, Romance, Thriller",Roman Polanski,"Hugh Grant, Kristin Scott Thomas, Emmanuelle Seigner, Peter Coyote"
How to Be Single,"Comedy, Drama, Romance",Christian Ditter,"Dakota Johnson, Rebel Wilson, Leslie Mann, Alison Brie"
Blood Diamond,"Adventure, Drama, Thriller",Edward Zwick,"Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers"
Near Dark,Horror,Kathryn Bigelow,"Adrian Pasdar, Jenny Wright, Lance Henriksen, Bill Paxton"
The Batman Part II,"Action, Crime, Drama",Matt Reeves,"Andy Serkis, Robert Pattinson, Jeffrey Wright"
3 Ninjas,"Action, Comedy, Family",Jon Turteltaub,"Victor Wong, Michael Treanor, Max Elliott Slade, Chad Power"
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,"Action, Comedy, Crime",Cathy Yan,"Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, Jurnee Smollett"
Close Encounters of the Third Kind,"Drama, Sci-Fi",Steven Spielberg,"Richard Dreyfuss, François Truffaut, Teri Garr, Melinda Dillon"
Joy,"Biography, Drama",David O. Russell,"Jennifer Lawrence, Robert De Niro, Bradley Cooper, Edgar Ramírez"
Cloverfield,"Horror, Sci-Fi, Thriller",Matt Reeves,"Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller"
Ice Age,"Animation, Adventure, Comedy",Chris Wedge,"Carlos Saldanha, Denis Leary, John Leguizamo, Ray Romano, Goran Visnjic"
13 Bom di Jakarta,"Action, Crime, Thriller",Angga Dwimas Sasongko,"Ardhito Pramono, Lutesha, Chicco Kurniawan, Rio Dewanto"
Patriot Games,"Action, Thriller",Phillip Noyce,"Harrison Ford, Sean Bean, Anne Archer, Patrick Bergin"
Old Dads,Comedy,Bill Burr,"Bill Burr, Bobby Cannavale, Bokeem Woodbine, Katie Aselton"
Collateral,"Action, Crime, Drama",Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo"
Romeo and Juliet,"Drama, Romance",Franco Zeffirelli,"Leonard Whiting, Olivia Hussey, John McEnery, Milo O'Shea"
The Adam Project,"Action, Adventure, Comedy",Shawn Levy,"Ryan Reynolds, Walker Scobell, Mark Ruffalo, Jennifer Garner"
Final Destination,"Horror, Thriller",James Wong,"Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke"
Piranha 3D,"Comedy, Horror",Alexandre Aja,"Elisabeth Shue, Jerry O'Connell, Richard Dreyfuss, Ving Rhames"
Amsterdam,"Comedy, Drama, History",David O. Russell,"Christian Bale, Margot Robbie, John David Washington, Alessandro Nivola"
Jade,"Action, Thriller",James Bamford,"Katherine McNamara, Mickey Rourke, Mark Dacascos, Keith Jardine"
No One Will Save You,"Horror, Sci-Fi, Thriller",Brian Duffield,"Kaitlyn Dever, Elizabeth Kaluev, Zack Duhame, Lauren L. Murray"
The Lair of the White Worm,"Comedy, Horror",Ken Russell,"Amanda Donohoe, Hugh Grant, Catherine Oxenberg, Peter Capaldi"
Doctor Strange,"Action, Adventure, Fantasy",Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong"
Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",Anthony Russo,"Joe Russo, Chris Evans, Samuel L. Jackson, Scarlett Johansson, Robert Redford"
The Little Rascals,"Comedy, Family, Romance",Penelope Spheeris,"Travis Tedford, Bug Hall, Brittany Ashton Holmes, Kevin Jamal Woods"
Conan the Destroyer,"Action, Adventure, Fantasy",Richard Fleischer,"Arnold Schwarzenegger, Grace Jones, Olivia d'Abo, Wilt Chamberlain"
Limitless,"Sci-Fi, Thriller",Neil Burger,"Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro"
Big Hero 6,"Animation, Action, Adventure",Don Hall,"Chris Williams, Ryan Potter, Scott Adsit, Jamie Chung, T.J. Miller"
Monty Python and the Holy Grail,"Adventure, Comedy, Fantasy",Terry Gilliam,"Terry Jones, Graham Chapman, John Cleese, Eric Idle, Terry Gilliam"
Chicago,"Comedy, Crime, Musical",Rob Marshall,"Renée Zellweger, Catherine Zeta-Jones, Richard Gere, Taye Diggs"
Iron Man 2,"Action, Sci-Fi",Jon Favreau,"Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow, Don Cheadle"
Immortals,"Action, Drama, Fantasy",Tarsem Singh,"Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff"
Black Adam,"Action, Adventure, Fantasy",Jaume Collet-Serra,"Dwayne Johnson, Aldis Hodge, Pierce Brosnan, Noah Centineo"
Terms of Endearment,"Comedy, Drama",James L. Brooks,"Shirley MacLaine, Debra Winger, Jack Nicholson, Danny DeVito"
The Hunger Games: Mockingjay - Part 1,"Action, Adventure, Sci-Fi",Francis Lawrence,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson"
Lilo & Stitch,"Animation, Adventure, Comedy",Dean DeBlois,"Chris Sanders, Daveigh Chase, Chris Sanders, Tia Carrere, David Ogden Stiers"
Ted,Comedy,Seth MacFarlane,"Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale"
Hostel,Horror,Eli Roth,"Jay Hernandez, Derek Richardson, Eythor Gudjonsson, Barbara Nedeljakova"
The Naked Gun: From the Files of Police Squad!,"Comedy, Crime",David Zucker,"Leslie Nielsen, Priscilla Presley, O.J. Simpson, Ricardo Montalban"
Eden Lake,"Horror, Thriller",James Watkins,"Kelly Reilly, Michael Fassbender, Tara Ellis, Jack O'Connell"
Ace Ventura: Pet Detective,Comedy,Tom Shadyac,"Jim Carrey, Courteney Cox, Sean Young, Tone Loc"
Blade,"Action, Horror, Sci-Fi",Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright"
Wolfs,Thriller,Jon Watts,"Brad Pitt, George Clooney, Amy Ryan, Poorna Jagannathan"
"Are You There God? It's Me, Margaret.","Comedy, Drama, Family",Kelly Fremon Craig,"Abby Ryder Fortson, Rachel McAdams, Kathy Bates, Benny Safdie"
The Secret Life of Walter Mitty,"Adventure, Comedy, Drama",Ben Stiller,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn"
The Other Guys,"Action, Comedy, Crime",Adam McKay,"Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes"
Lawless,"Biography, Crime, Drama",John Hillcoat,"Tom Hardy, Shia LaBeouf, Guy Pearce, Jason Clarke"
Dark City,"Fantasy, Mystery, Sci-Fi",Alex Proyas,"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly, William Hurt"
The Boy Next Door,Thriller,Rob Cohen,"Jennifer Lopez, Ryan Guzman, Kristin Chenoweth, John Corbett"
Tarzan,"Animation, Adventure, Comedy",Chris Buck,"Kevin Lima, Tony Goldwyn, Minnie Driver, Brian Blessed, Glenn Close"
Monolith,"Drama, Mystery, Sci-Fi",Matt Vesely,"Lily Sullivan, Ling Cooper Tang, Ansuya Nathan, Erik Thomson"
3 Days in Malay,"Action, History, War",Louis Mandylor,"Louis Mandylor, Donald Cerrone, Quinton 'Rampage' Jackson, Peter Dobson"
The Longest Ride,"Comedy, Drama, Romance",George Tillman Jr.,"Scott Eastwood, Britt Robertson, Alan Alda, Jack Huston"
La piel que habito,"Drama, Mystery, Thriller",Pedro Almodóvar,"Antonio Banderas, Elena Anaya, Jan Cornet, Marisa Paredes"
Heart of Stone,"Action, Crime, Thriller",Tom Harper,"Gal Gadot, Jamie Dornan, Alia Bhatt, Jing Lusi"
Fast & Furious Presents: Hobbs & Shaw,"Action, Adventure, Thriller",David Leitch,"Dwayne Johnson, Jason Statham, Idris Elba, Vanessa Kirby"
Jules,"Comedy, Drama, Sci-Fi",Marc Turtletaub,"Ben Kingsley, Harriet Sansom Harris, Jane Curtin, Teddy Cañez"
